name, description, activity_type, address, neighborhood, website
Portland Japanese Garden,"Large Japanese garden with beautiful Japanese landscaping, tranquil ponds, and a traditional tea house. Nice, serene escape from the city.",Paid Experiences,"611 SW Kingston Ave, Portland, OR 97205",Arlington Heights,https://japanesegarden.org/
International Rose Test Garden,"Beautiful rose gardens with over 10,000 rose bushes representing more than 650 varieties. Great views of Portland and Mount Hood. Roses are in bloom late May through October.",Free Experiences,"400 SW Kingston Ave, Portland, OR 97205",Arlington Heights,https://www.portland.gov/parks/washington-park-international-rose-test-garden
Hat Yai Belmont,"Casual counter-service restaurant that specializes in Southern Thai food including fried chicken, curry, and roti. Fun cocktails. No reservations.",Restaurants,"605 SE Belmont St, Portland, OR 97214",Buckman,www.hatyaipdx.com/
Hopscotch Portland,"Hopscotch is an immersive and experiential brand that brings together artists in collaborative environments to create unique, impactful, and distinct shared experiences.",Paid Experiences,"1020 SE 10th Ave, Portland, OR 97214",Buckman,https://letshopscotch.com/
Broder Nord,"Known for its cozy and welcoming atmosphere, Broder Nord offers a delicious menu featuring traditional Nordic cuisine with a modern twist. Guests can enjoy dishes such as Swedish meatballs, smoked trout, and various open-faced sandwiches known as smørrebrød, all made with fresh, locally-sourced ingredients.",Restaurants,"3765 N Mississippi Ave, Portland, OR 97227",Boise,https://www.broderpdx.com/
Nostrana,"Renowned for its authentic yet innovative approach to Italian cuisine, Nostrana offers a menu that celebrates the flavors of Italy while incorporating locally-sourced ingredients from the Pacific Northwest.",Restaurants,"1401 SE Morrison St #101, Portland, OR 97214",Hopscotch ,https://nostrana.com/
Bernstein's Bagels,"Bernstein's Bagels has gained a loyal following for its handcrafted, New York-style bagels made with traditional techniques and high-quality ingredients.",Restaurants,"816 N Russell St, Portland, OR 97227",Eliot,https://bernsteinsbagels.com/
Hey Love,"Specializing in modern comfort food, artisanal cocktails, and a fusion of different cuisines, Hey Love is a cozy, intimate yet lively restaurant that is perfect for friends, couples, or families.",Restaurants,"920 E Burnside St, Portland, OR 97214",Buckman,https://www.heylovepdx.com/
Hapa PDX Ramen & Whiskey,Hapa PDX Ramen & Whiskey is a dynamic restaurant known for its innovative fusion of Japanese ramen and American whiskey culture.,Restaurants,"3848 SE Gladstone St, Portland, OR 97202",Creston-Kenilworth,https://www.hapapdx.us/
Crystal Springs Rhododendron Garden,"Situated on the eastern edge of the city, the garden spans over 9 acres and features a stunning collection of rhododendrons, azaleas, and other flowering plants, making it a popular destination for nature lovers, photographers, and outdoor enthusiasts.",Paid Experiences,"5801 SE 28th Ave, Portland, OR 97202",Woodstock,https://www.crystalspringsgardenpdx.org/
Powell's City of Books,"Powell's City of Books one of the largest independent bookstores in the world and is renowned for its vast selection of new, used, and rare books spanning a wide range of genres and subjects.",Shops,"1005 W Burnside St, Portland, OR 97209",Pearl District,https://www.powells.com/
Portland Nursery,"The nursery offers a wide variety of plants, trees, shrubs, flowers, and gardening supplies to meet the needs of both novice and experienced gardeners. Whether you're looking to start a vegetable garden, create a colorful flower bed, or add some greenery to your indoor space, Portland Nursery provides a diverse selection of high-quality plants and gardening products.",Shops,"5050 SE Stark St, Portland, OR 97215",Sunnyside,https://www.portlandnursery.com/
QuarterWorld Arcade,"QuarterWorld Arcade is a popular arcade and entertainment venue. It offers a nostalgic and fun-filled experience for visitors of all ages, featuring a wide variety of classic and modern arcade games, pinball machines, and other interactive attractions.",Paid Experiences,"4811 SE Hawthorne Blvd, Portland, OR 97215",Hawthorne,https://www.quarterworldarcade.com/
Brujos Brewing,"Brujos Brewing is a craft brewery known for its creative and innovative approach to brewing beer. The brewery takes its name from the Spanish word ""brujos,"" meaning ""witches"" or ""sorcerers,"" reflecting its adventurous spirit and commitment to pushing the boundaries of traditional beer styles.",Breweries & Bars,"2377 NW Wilson St, Portland, OR 97210",Northwest District," "
Breakside Brewery,"The brewery is renowned for its diverse range of beer styles, including IPAs, stouts, lagers, sour ales, and experimental brews. Breakside Brewery has garnered numerous awards and accolades for its beers, reflecting its commitment to quality and innovation in brewing.",Breweries & Bars,"1570 NW 22nd Ave, Portland, OR 97210",NW Slabtown,https://breakside.com/
StormBreaker Brewing,"StormBreaker Brewing is known for its wide range of beer styles, including IPAs, stouts, porters, lagers, and seasonal specialties. The brewery prides itself on using locally-sourced ingredients whenever possible and prioritizes quality and creativity in its brewing process.",Breweries & Bars,"832 N Beech St, Portland, OR 97227",Boise,https://www.stormbreakerbrewing.com/
Marshall Park,"One of the notable features of Marshall Park is its lush and verdant forested areas, which provide ample opportunities for hiking, nature walks, and birdwatching. The park is crisscrossed by a network of trails that wind through towering fir and cedar trees, creating a tranquil atmosphere that's perfect for outdoor recreation and relaxation.",Free Experiences,"Marshall Park, Portland, OR 97219",Marshall Park," "
CARTOPIA FOOD CARTS,Cartopia offers visitors a diverse and vibrant dining experience with a variety of food carts serving up delicious cuisine from around the world.,Food Carts,"1207 SE Hawthorne Blvd, Portland, OR 97214",East Portland,https://cartopiafoodcarts.com/
Hawthorne Asylum Food Cart Pod,"At Hawthorne Asylum, you'll find a mix of traditional favorites and innovative creations, with each food cart showcasing its own unique style and specialty. From mouthwatering tacos and savory BBQ to gourmet grilled cheese sandwiches and exotic vegan bowls, there's something to satisfy every craving and dietary preference.",Food Carts,"SE 10th Ave &, 1080 SE Madison St, Portland, OR 97214",East Portland," "
Birrieria La Plaza - Birria de Res | Mexican Food Truck & Taqueria,"At Birrieria La Plaza, guests can indulge in a variety of birria de res offerings, including tacos, quesadillas, burritos, and even birria ramen bowls, each bursting with rich, savory flavors and tender, melt-in-your-mouth beef. The tacos are served with freshly chopped onions, cilantro, and a squeeze of lime, while the consommé provides the perfect dipping sauce for soaking up every last bit of flavor.",Food Carts,"10114 SE Division St A, Portland, OR 97266",Mill Park,https://tacoslaplaza.com/